SKU  #,Vendor Model,Vendor  #,Item Desc,Store,Onhand Qty
188041,PT1350,OB,14KT WHITE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-SERRA,1
167618,426-DR20,OB,14K YELLOW-GOLD PRAYING VIRGIN MARY PENDANT,VJ-SERRA,1
187779,MTSR3-1,OB,14KT YELLOW-GOLD CZ BAPTISM ROUND PENDANT,VJ-HEND,1
167640,76,OB,14KT YELLOW-GOLD CZ BAPTISM PENDANT,VJ-HEND,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187775,M04-C,OB,14KT YELLOW-GOLD D/C GUADALUPE OVAL SHAPE PENDANT,VJ-HEND,1
188342,PT856,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
167588,450,OB,14KT TRI-COLOR GOLD HOOPS (NO WARRANTY),VJ-HEND,1
167623,XTC01-5,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
167609,691,OB,14KT TRI-COLOR GOLD SACRED HEART GOLD PENDANT,VJ-HEND,1
187965,MO3-F,OB,14KT TRICOLOR-GOLD VIRGIN MARY OVAL PENDANT,VJ-HEND,1
188319,PT1,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187766,XM-24,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187799,MO11-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE OVAL MEDAL PENDANT,VJ-HEND,1
167607,679,OB,14KT TRICOLOR-GOLD SACRED HEART JESUS PENDANT,VJ-HEND,1
187744,PT316,OB,14KT YELLOW-GOLD LADY OF GUADALUPE PENDANT,VJ-HEND,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-HEND,1
189398,PT3,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-HEND,1
187756,PT317,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE PENDANT,VJ-HEND,1
158062,FD-14,OB,14KT TRI-COLOR GOLD SWEET 15 PENDANT,VJ-EAST,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-EAST,1
187787,MO5-B,OB,14KT TRICOLOR-GOLD ST. JUDE OVAL PENDANT,VJ-EAST,1
192202,DSJ-5,OB,14KT 2TONE-GOLD CZ ST. JUDE PENDANT,VJ-EAST,1
187795,MO10-C,OB,14KT YELLOW-GOLD RELIGIOUS DOUBLE SIDED PENDANT,VJ-EAST,1
158058,DR37-15,OB,14KT 2TONE-GOLD CZ SWEET15 PENDANT,VJ-EAST,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,VJ-EAST,1
187779,MTSR3-1,OB,14KT YELLOW-GOLD CZ BAPTISM ROUND PENDANT,VJ-EAST,1
187805,MR15-D,OB,14KT YELLOW-GOLD VIRGIN MARY D/C ROUND PENDANT,VJ-EAST,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,VJ-EAST,1
157361,MR10,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-EAST,1
187756,PT317,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE PENDANT,VJ-EAST,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-EAST,1
187774,MR16,OB,14KT YELLOW-GOLD VIRGIN MARY MEDAL PENDANT,VJ-EAST,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-EAST,1
167640,76,OB,14KT YELLOW-GOLD CZ BAPTISM PENDANT,DBC-GM,1
187966,MTFT5-C326,OB,14KT YELLOW-GOLD D/C CZ VIRGIN MARY PENDANT,DBC-GM,1
188050,MOCB3-C517-JUDE,OB,14KT YELLOW-GOLD CZ ST.JUDE OVAL PENDANT,DBC-GM,1
166060,PT351,OB,14KT 2TONE-GOLD D/C RELIGIOUS PENDANT,DBC-GM,1
189422,MR11,OB,14KT TRICOLOR-GOLD VIRGIN MARY ROUND PENDANT,DBC-GM,1
192198,XM30,OB,14KT YELLOW-GOLD MARINER'S ANCHOR CRUCIFIX PENDANT,DBC-GM,1
189407,MO8,OB,14KT TRICOLOR-GOLD VIRGIN MARY OVAL PENDANT,DBC-GM,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,DBC-GM,1
187805,MR15-D,OB,14KT YELLOW-GOLD VIRGIN MARY D/C ROUND PENDANT,DBC-GM,1
188327,OVG3,OB,14KT YELLOW-GOLD DOUBLE SIDED RELIGIOUS PENDANT,DBC-GM,1
192202,DSJ-5,OB,14KT 2TONE-GOLD CZ ST. JUDE PENDANT,VJ-INLND,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,DBC-STOCK,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,DBC-STOCK,1
187744,PT316,OB,14KT YELLOW-GOLD LADY OF GUADALUPE PENDANT,DBC-STOCK,1
169820,XV3,OB,14KT 2TONE GOLD CARAVACA PENDANT,DBC-STOCK,1
167605,624,OB,14KT TRI-COLOR GOLD NIÑO PENDANT,DBC-STOCK,1
187966,MTFT5-C326,OB,14KT YELLOW-GOLD D/C CZ VIRGIN MARY PENDANT,DBC-STOCK,2
187756,PT317,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE PENDANT,DBC-STOCK,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,DBC-STOCK,1
187779,MTSR3-1,OB,14KT YELLOW-GOLD CZ BAPTISM ROUND PENDANT,DBC-STOCK,1
158062,FD-14,OB,14KT TRI-COLOR GOLD SWEET 15 PENDANT,DBC-STOCK,1
158068,BTR1,OB,14KT LADY'S RAILROAD BRACELET,DBC-STOCK,1
189405,DPN12,OB,14KT 2TONE-GOLD GRIM REAPER PENDANT,DBC-STOCK,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,DBC-STOCK,1
158072,DQ7,OB,14KT YELLOW-GOLD 15-ANOS CZ PENDANT,DBC-STOCK,1
169826,NK178,OB,14KT-WHTIE GOLD ROSARY,DBC-STOCK,1
192203,KM-5,OB,14KT 2TONE-GOLD D/C CRUCIFIX CROSS PENDANT,DBC-STOCK,1
167607,679,OB,14KT TRICOLOR-GOLD SACRED HEART JESUS PENDANT,DBC-STOCK,1
167611,PT305,OB,14KT TRI-COLOR GOLD ST.BERNADETTE PENDANT,DBC-STOCK,1
187779,MTSR3-1,OB,14KT YELLOW-GOLD CZ BAPTISM ROUND PENDANT,VJ-CHAND,1
187750,MR4-E,OB,14KT YELLOW-GOLD RELIGIOUS PENDANT,VJ-CHAND,1
